ward_id,ward_name,ward_number,ward_type,centroid_lon,centroid_lat,district,historical_annual_avg_mm,current_jan2026_mm,climate_normal_jan_mm,climate_normal_feb_mm,climate_normal_mar_mm,climate_normal_apr_mm,climate_normal_may_mm,climate_normal_jun_mm,climate_normal_jul_mm,climate_normal_aug_mm,climate_normal_sep_mm,climate_normal_oct_mm,climate_normal_nov_mm,climate_normal_dec_mm,rainfall_zone,is_urban_core,proximity_to_yamuna_km
DEL_234,GANDHI NAGAR,234,MCD,77.2600776265,28.6613759725,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.2
DEL_235,AZAD NAGAR,235,MCD,77.2787041935,28.665407815,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,1.5
DEL_236,RAGHUBAR PURA,236,MCD,77.2718410645,28.666282593,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,1.8
DEL_237,SHAHDARA,237,MCD,77.286968694,28.6679616085,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,1.2
DEL_238,JHILMIL,238,MCD,77.30268472,28.669266105,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,1.0
DEL_239,VIVEK VIHAR,239,MCD,77.3106123525,28.6751651975,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,0.8
DEL_240,DILSHAD COLONY,240,MCD,77.3262205805,28.6815019055,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,1.5
DEL_241,DILSHAD GARDEN,241,MCD,77.310001498,28.6849494775,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.0
DEL_242,NEW SEEMA PURI,242,MCD,77.3238355535,28.6881886465,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.2
DEL_243,NAND NAGRI,243,MCD,77.307562572,28.694634675,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.5
DEL_244,SUNDER NAGARI,244,MCD,77.3169320005,28.694611062,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.8
DEL_245,DURGA PURI,245,MCD,77.2986288265,28.688440759,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,3.0
DEL_246,ASHOK NAGAR,246,MCD,77.29672889,28.6951468205,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,3.2
DEL_247,RAM NAGAR,247,MCD,77.2905933965,28.6787316335,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.5
DEL_248,WELCOME COLONY,248,MCD,77.2803795515,28.6791178035,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.2
DEL_249,CHAUHAN BANGER,249,MCD,77.271135887,28.6824278685,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.0
DEL_250,ZAFFRABAD,250,MCD,77.267160842,28.674318239,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.5
DEL_251,NEW USMANPUR,251,MCD,77.2584382005,28.6782232515,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.8
DEL_252,MAUJPUR,252,MCD,77.2754163595,28.6893037325,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,3.0
DEL_253,BHAJANPURA,253,MCD,77.258563965,28.6976800735,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,3.5
DEL_254,BRAHAM PURI,254,MCD,77.2579576025,28.688153164,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,3.2
DEL_255,GHONDA,255,MCD,77.265242939,28.6905015155,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,3.8
DEL_256,YAMUNA VIHAR,256,MCD,77.2718051325,28.699874752,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,4.0
DEL_257,SUBHASH MOHALLA,257,MCD,77.274068887,28.6945204505,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,3.5
DEL_258,KARDAM PURI,258,MCD,77.2842917145,28.693893783,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,3.2
DEL_259,JANTA COLONY,259,MCD,77.279252166,28.6839843655,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.8
DEL_260,BABAR PUR,260,MCD,77.285410117,28.686998654,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.5
DEL_261,JIWANPUR,261,MCD,77.2826388145,28.7133552485,NORTH DELHI,631.5,15.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,4.2
DEL_262,GOKALPUR,262,MCD,77.2888102405,28.707285025,NORTH DELHI,631.5,15.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,4.0
DEL_263,SABOLI,263,MCD,77.306228574,28.706634906,NORTH DELHI,631.5,15.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,3.8
